Vulnerability Name,Effective Severity,CVSS Score,EPSS Score,Risk Score,CVE ID,CWE ID,Asset URL/IP,Recommendation,OWASP Top 10,Date Discovered
CVE: CVE-2001-0385 in GoAhead WebServer,Unknown,N/A,0.0671,2.8,CVE-2001-0385,NVD-CWE-Other,N/A,N/A,,2026-04-20 06:07:06
CVE: CVE-2002-1951 in GoAhead WebServer,Unknown,N/A,0.2057,2.8,CVE-2002-1951,NVD-CWE-Other,N/A,N/A,,2026-04-20 06:07:06
CVE: CVE-2003-0169 in GoAhead WebServer,Unknown,N/A,0.1456,2.8,CVE-2003-0169,NVD-CWE-Other,N/A,N/A,,2026-04-20 06:07:06
CVE: CVE-2002-2427 in GoAhead WebServer,Unknown,N/A,0.003,2.8,CVE-2002-2427,CWE-287,N/A,N/A,,2026-04-20 06:07:06
CVE: CVE-2002-2428 in GoAhead WebServer,Unknown,N/A,0.0044,2.8,CVE-2002-2428,CWE-20,N/A,N/A,,2026-04-20 06:07:06
